ano,productoint,impuest,vaag,actprim,a_11,actsec,a_21,a_22,a_23,a_31,actterc,a_43,a_46,a_48,a_51,a_52,a_53,a_54,a_55,a_56,a_61,a_62,a_71,a_72,a_81,a_93
1993,1560093.286,68565.497,1491527.789,79572.556,79572.556,506758.314,94501.189,20894.579,108035.389,283327.157,905196.919,94047.538,135833.595,79800.952,25989.897,64928.557,197963.431,18976.856,6573.561,51809.152,48988.662,28753.154,9438.757,48713.296,44760.375,48619.136
1994,1781422.46,85115.216,1696307.244,82245.791,82245.791,572604.539,97803.575,24344.489,140762.547,309693.928,1041456.914,108969.882,151352.623,90014.908,30976.239,68387.262,229544.365,22785.429,9443.034,63638.703,59399.015,32620.115,11039.483,55476.791,49378.632,58430.433
1995,2311458.453,95923.794,2215534.659,102279.048,102279.048,755663.899,143940.215,34223.936,134824.209,442675.539,1357591.712,163890.282,202962.647,123050.853,35504.641,83159.891,310792.013,29264.04,12662.539,83548.531,71476.722,39979.491,12242.115,61550.883,58618.892,68888.172
1996,3123167.939,125059.63,2998108.309,152050.408,152050.408,1060228.654,184878.248,48123.743,196297.024,630929.639,1785829.247,235892.406,289130.955,174142,45938.217,71523.072,400139.262,41305.07,16599.849,114795.837,91509.636,48097.902,14871.673,78654.194,73745.72,89483.454
1997,3962524.166,177974.627,3784549.539,176343.688,176343.688,1355115.69,242842.792,59835.478,251843.73,800593.69,2253090.161,319976.552,354238.69,230892.192,55276.522,71887.573,488290.226,55776.151,22584.693,145618.51,117337.305,58981.006,19828.885,102221.525,92149.734,118030.597
1998,4810123.454,241105.797,4569017.657,200038.708,200038.708,1629850.812,261559.512,70961.104,329902.93,967427.266,2739128.137,362355.718,416789.975,288988.346,72293.732,87340.108,603988.402,74032.046,24279.601,177086.932,149804.58,77897.707,23316.844,128377.242,109692.779,142884.125
1999,5738466.369,297518.835,5440947.534,211236.774,211236.774,1958213.376,354325.791,95492.172,401722.735,1106672.678,3271497.384,420274.254,490479.775,349902.404,92230.544,111705.436,689793.223,97072.225,27095.335,214221.568,185321.442,100340.77,27549.007,156324.124,131614.081,177573.196
2000,6693683.014,312251.513,6381431.501,222436.864,222436.864,2289889.259,426967.102,105351.454,486584.089,1270986.614,3869105.378,482940.499,613421.197,416335.21,109151.009,114194.51,788166.323,122991.223,30889.266,253064.741,220018.848,118838.323,31670.331,189947.009,151623.078,225853.811
2001,7069377.272,352997.883,6716379.389,240589.667,240589.667,2348259.18,454151.849,116774.561,501176.153,1276156.617,4127530.542,468296.681,605866.013,438577.839,124528.493,154837.385,850678.64,142446.449,31145.35,263415.635,254922.055,140888.7,32936.782,208362.281,164524.872,246103.367
2002,7455459.195,385160.39,7070298.805,244410.966,244410.966,2438707.367,492620.41,133282.024,525427.195,1287377.738,4387180.472,473268.001,645131.605,447627.343,132843.258,164014.941,909446.335,156062.578,33165.632,278542.102,283287.289,155213.573,36454.593,214083.944,175054.28,282984.998
2003,7868809.553,393207.946,7475601.607,266554.861,266554.861,2454366.468,409918.569,151915.899,585602.446,1306929.554,4754680.278,524327.472,676669.634,462417.306,144567.141,188905.823,995260.536,181073.077,40643.413,297364.428,317824.513,171965.544,39220.908,221203.903,186448.929,306787.651
2004,8828367.434,390348.759,8438018.675,294796.001,294796.001,2900212.287,575373.533,166831.772,687291.448,1470715.534,5243010.387,598680.528,773808.207,514924.624,171445.849,216352.26,1075474.038,199852.136,47127.758,322130.597,336354.831,183417.961,41602.15,236058.353,200056.547,325724.548
2005,9562648.113,395675.286,9166972.827,293879.702,293879.702,3134961.761,709548.527,179314.326,742219.075,1503879.833,5738131.364,649915.373,858374.399,564673.589,199759.877,280938.39,1144925.815,216809.981,51858.086,351257.83,370375.84,191764.461,43699.575,249136.591,214835.446,349806.111
2006,10630939.43,400003.887,10230935.54,326989.184,326989.184,3635279.408,812610.25,193782.672,857776.073,1771110.413,6268666.947,734257.807,913173.674,628674.858,229516.527,303621.393,1249045.106,231294.756,60914.934,379645.488,404344.989,207611.732,49143.219,260950.027,233000.269,383472.168
2007,11504075.51,436902.593,11067172.92,366026.862,366026.862,3892419.767,917334.164,210582.941,932954.62,1831548.042,6808726.29,796788.803,986784.282,673391.133,271954.72,357611.814,1338366.351,249465.18,62477.885,407836.759,437370.199,224912.585,54336.423,276587.511,251565.061,419277.584
2008,12353845.28,316395.983,12037449.3,390428.297,390428.297,4293726.148,1060465.208,234453.608,1041686.634,1957120.698,7353294.853,884966.632,1062011.673,704418.619,287267.384,390862.403,1450863.158,268185.3,74026.24,438857.309,476932.051,251364.333,56665.476,283073.086,265535.96,458265.229
2009,12162762.85,503852.225,11658910.62,394255.245,394255.245,3879202.997,790228.059,246764.966,1006093.719,1836116.253,7385452.379,857895.182,953406.047,695777.291,303626.053,411379.866,1505808.159,264624.776,70436.068,438708.433,504395.981,267775.844,57610.237,266612.382,275149.394,512246.666
2010,13366377.17,542155.977,12824221.19,430284.329,430284.329,4325615.011,961659.148,239606.142,1044316.965,2080032.756,8068321.854,980823.298,1116078.608,803493.245,313751.021,440566.915,1598253.88,268728.566,74380.22,452776.201,534793.602,289782.737,62975.107,283708.728,289193.545,559016.181
2011,14665576.47,504828.626,14160747.85,452940.691,452940.691,4921298.326,1280325.095,232305.784,1157313.108,2251354.339,8786508.829,1133690.984,1287440.935,869045.771,309632.892,457519.952,1695922.531,290767.663,79580.065,495709.553,573114.663,321284.263,64806.582,303043.91,302579.629,602369.436
2012,15817754.58,482814.885,15334939.7,502043.662,502043.662,5342678.582,1292167.05,223023.755,1241802.965,2585684.812,9490217.455,1279930.157,1383184,954611.747,314499.971,485176.116,1777940.599,306585.639,90757.269,544594.841,630296.566,345297.824,68611.307,328573.664,322973.276,657184.479
2013,16277187.08,634567.233,15642619.85,510905.694,510905.694,5185312.406,1153599.414,244041.066,1210696.323,2576975.603,9946401.745,1286997.05,1455207.044,1011495.685,324690.765,567237.525,1853549.024,311660.611,90454.382,577080.718,664031.135,374109.484,73364.614,344770.832,340085.089,671667.787
2014,17484305.61,904345.102,16579960.51,547624.083,547624.083,5505840.557,1150895.814,291629.077,1280565.243,2782750.423,10526495.87,1401802.443,1529952.822,1077534.979,333528.748,599820.191,1951298.081,326453.161,101532.273,595488.619,708009.809,392521.259,73890.747,367476.802,353504.245,713681.686
2015,18572109.42,1073095.155,17499014.26,592807.554,592807.554,5568903.331,732884.667,286317.079,1362424.957,3187276.628,11337303.38,1622352.993,1681567.359,1147964.546,334898.504,627866.388,2035075.065,356296.932,109140.758,619981.922,759326.842,422718.514,78777.709,415439.354,378180.021,747716.468
2016,20129057.37,1258366.98,18870690.39,673611.743,673611.743,5966243.609,729528.875,298215.017,1480237.058,3458262.659,12230835.04,1865035.241,1858755.432,1217759.011,326095.016,744497.589,2121344.872,390327.662,113747.168,652918.462,787492.385,446040.984,83843.11,449261.079,400751.272,772965.756
2017,21934167.57,1212103.876,20722063.7,741610.411,741610.411,6787799.037,898829.497,434136.287,1629240.482,3825592.771,13192654.25,2059729.737,2056164.421,1329228.472,348220.413,845157.836,2195314.621,401411.604,123401.492,727744.827,821399.962,482589.417,88457.976,486480.454,420251.885,807101.131
2018,23524509.64,1301755.75,22222753.89,793625.841,793625.841,7328770.602,968024.506,466687.052,1770220.516,4123838.528,14100357.45,2237074.819,2187230.928,1460066.857,367290.86,929543.48,2283507.544,426123.4,137875.794,779889.508,861171.724,520427.445,95122.114,517040.786,437096.273,860895.914
2019,24237619.97,1424767.777,22812852.19,826454.39,826454.39,7379162.362,875486.628,498333.517,1742382.31,4262959.905,14607235.44,2230115.179,2332006.515,1533343.197,370456.8,942538.795,2370706.107,446555.15,137827.422,832499.811,893611.561,547150.466,97467.118,543591.448,458345.842,871020.03